,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
33,902967878,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,36,36,3,1,4.0,22,11,22,-2.28598883951621,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
34,902967879,20200102,202001,2020,2020.0055,,,,,,,,,,,DEU,HAMBURG,DEU,,,,,,,,0,43,43,4,1,2.8,8,1,8,-0.9771986970684101,0,,,,,,,4,"Hamburg, Hamburg, Germany",GM,GM04,53.55,10.0,-1785434,4,"Hamburg, Hamburg, Germany",GM,GM04,53.55,10.0,-1785434,20200201,https://www.hamburgreporter.com/news/20200131/recovery-group-turns-attention-to-potential-2020-flood
35,902967880,20200102,202001,2020,2020.0055,,,,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,0,112,112,11,3,-2.0,119,39,119,-3.9376366397542,0,,,,,,,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20200201,https://www.washingtonpost.com/world/national-security/bolton-trump-asked-me-to-ensure-zelenskiy-giuliani-met/2020/01/31/e1143ba6-4470-11ea-99c7-1dfd4241a2fe_story.html
36,902967881,20200102,202001,2020,2020.0055,,,,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,0,112,112,11,3,-2.0,47,15,47,-3.7930577317417904,0,,,,,,,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20200201,https://www.tiftongazette.com/news/senate-to-vote-on-trump-trial-witnesses-with-end-in/article_7cff4d96-4465-11ea-b790-2f3fe977a044.html
37,902967882,20200102,202001,2020,2020.0055,BUS,AIRLINE,,,,,,BUS,,,IDN,INDONESIA,IDN,,,,,,,,0,160,160,16,4,-4.0,38,8,38,-4.26518130169442,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.38799999999999,-1898541,1,Indonesia,ID,ID,-5.0,120.0,ID,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.38799999999999,-1898541,20200201,https://uk.reuters.com/article/us-china-health-airlines-factbox/airlines-suspend-china-flights-because-of-coronavirus-outbreak-idUKKBN1ZU131
38,902967883,20200102,202001,2020,2020.0055,BUS,AIRLINE,,,,,,BUS,,,IDN,INDONESIAN,IDN,,,,,,,,0,160,160,16,4,-4.0,140,8,140,-4.26518130169442,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.38799999999999,-1898541,1,Indonesia,ID,ID,-5.0,120.0,ID,1,Indonesia,ID,ID,-5.0,120.0,ID,20200201,https://uk.reuters.com/article/us-china-health-airlines-factbox/airlines-suspend-china-flights-because-of-coronavirus-outbreak-idUKKBN1ZU131
39,902967884,20200102,202001,2020,2020.0055,BUS,AIRLINE,,,,,,BUS,,,IDN,INDONESIAN,IDN,,,,,,,,0,160,160,16,4,-4.0,12,1,12,-4.21082936358645,4,"Guangzhou, Guangdong, China",CH,CH30,23.1167,113.25,-1907161,1,Indonesia,ID,ID,-5.0,120.0,ID,4,"Guangzhou, Guangdong, China",CH,CH30,23.1167,113.25,-1907161,20200201,https://uk.reuters.com/article/us-china-health-airlines-factbox/airlines-suspend-china-flights-because-of-coronavirus-outbreak-idUKKBN1ZU131
40,902967885,20200102,202001,2020,2020.0055,CHN,CHINA,CHN,,,,,,,,EDU,STUDENT,,,,,,EDU,,,0,10,10,1,1,0.0,4,1,4,-1.4074595355383501,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200201,https://www.amestrib.com/news/20200131/airlines-schools-put-china-travel-on-hold-as-coronavirus-outbreak-worsens-some-isu-students-coming-home
41,902967886,20200102,202001,2020,2020.0055,DEU,HAMBURG,DEU,,,,,,,,,,,,,,,,,,0,42,42,4,1,1.9,6,1,6,-0.9771986970684101,4,"Hamburg, Hamburg, Germany",GM,GM04,53.55,10.0,-1785434,0,,,,,,,4,"Hamburg, Hamburg, Germany",GM,GM04,53.55,10.0,-1785434,20200201,https://www.hamburgreporter.com/news/20200131/recovery-group-turns-attention-to-potential-2020-flood
42,902967887,20200102,202001,2020,2020.0055,DEU,HAMBURG,DEU,,,,,,,,,,,,,,,,,,0,42,42,4,1,1.9,2,1,2,-0.9771986970684101,3,"Fremont County, Iowa, United States",US,USIA,40.7506,-95.6003,465224,0,,,,,,,3,"Fremont County, Iowa, United States",US,USIA,40.7506,-95.6003,465224,20200201,https://www.hamburgreporter.com/news/20200131/recovery-group-turns-attention-to-potential-2020-flood
